Общее время (s);Пройденное время цикла (s);Всего циклов;Пройденным циклам;Шаг;Общее количество циклов(8800 (0,1) Форма волны);Общее количество циклов(8800 (0,2) Форма волны);Положение(8800 (0,1):Положение) (mm);Нагрузка(8800 (0,1):Нагрузка) (kN);Вращение(8800 (0,2):Вращение) (deg);Крутящий момент(8800 (0,2):Крутящий момент) (N·m);Напряжение(8800 (0,1):Нагрузка) (MPa);Напряжение сдвига(8800 (0,2):Крутящий момент) (MPa)
0,525;0,525;1;1;1;1;1;-67,4814534357807;-0,00680074095726013;-41,9894456863403;111,717894673347;-0,0575456164939933;103,689019738499
0,53;0,53;1;1;1;1;1;-67,4809080532592;-0,00931918621063232;-41,9665744900703;112,930409610271;-0,0788558657186692;104,814394376068
0,535;0,535;1;1;1;1;1;-67,481064515458;-0,00584691762924194;-41,9421637058258;114,017181098461;-0,0494746795501941;105,82306241998
0,54;0,54;1;1;1;1;1;-67,4812075666112;-0,00171229243278503;-41,9214436411858;115,164272487164;-0,0144888511828146;106,887715329819
0,545;0,545;1;1;1;1;1;-67,4802956155096;-0,00919058918952942;-41,8980333209038;116,341061890125;-0,0777677203378695;107,979931934764
0,55;0,55;1;1;1;1;1;-67,4808722904709;-0,00786677002906799;-41,8748134374619;117,454133927822;-0,066566001261364;109,013010375998
0,555;0,555;1;1;1;1;1;-67,4810108712755;-0,00511288642883301;-41,8542623519897;118,601687252522;-0,0432635507601371;110,078092023693
0,56;0,56;1;1;1;1;1;-67,4811494520802;-0,00496566295623779;-41,8288081884384;119,738020002842;-0,0420177945188508;111,132759490548
0,565;0,565;1;1;1;1;1;-67,4812656811421;-0,00740796327590942;-41,8074980378151;120,893061161041;-0,0626837305458574;112,204790840597
0,57;0,57;1;1;1;1;1;-67,4808946422136;-0,00938519835472107;-41,7884570360184;122,032828629017;-0,0794144386082338;113,26264618087
0,575;0,575;1;1;1;1;1;-67,480581717816;-0,00218287110328674;-41,762627363205;123,163305222988;-0,0184707319621488;114,311878358122
0,58;0,58;1;1;1;1;1;-67,4809438160475;-0,010349303483963;-41,7385920882225;124,339908361435;-0,0875723767470216;115,4039220849
0,585;0,585;1;1;1;1;1;-67,4806130102558;-0,016816258430481;-41,7177030444145;125,451445579529;-0,142293606621095;116,43557601003
0,59;0,59;1;1;1;1;1;-67,4802285602816;-0,00572890043258667;-41,6920477151871;126,569077372551;-0,0484760571381509;117,472886508817
0,595;0,595;1;1;1;1;1;-67,4805057218909;-0,0112029910087585;-41,6690558195114;127,792492508888;-0,0947959977048447;118,608377976777
0,6;0,6;1;1;1;1;1;-67,4807828835002;-0,00722646713256836;-41,6445672512054;128,885313868523;-0,0611479703212757;119,622661103586
0,6075;0,6075;1;1;1;1;1;-67,4801078608711;-0,00474363565444946;-41,60954028368;130,536943674088;-0,0401390730618502;121,155592564661
0,6125;0,6125;1;1;1;1;1;-67,480098920174;-0,00839456915855408;-41,5874898433685;131,715163588524;-0,071032062604113;122,249136873937
0,6175;0,6175;1;1;1;1;1;-67,4801033905225;-0,0069272518157959;-41,57101303339;132,825702428818;-0,0586161094584185;123,279864172086
0,625;0,625;1;1;1;1;1;-67,480890171865;-0,0128020346164703;-41,5374183654785;134,479150176048;-0,108326574855901;124,814482924082
0,63;0,63;1;1;1;1;1;-67,4806934765294;-0,0112737715244293;-41,5121412277222;135,701805353165;-0,0953949189746939;125,949269049116
0,6375;0,6375;1;1;1;1;1;-67,4800631573857;-0,0127416849136353;-41,4777204394341;137,307092547417;-0,107815915667924;127,439188421992
0,6425;0,6425;1;1;1;1;1;-67,4797010591542;-0,00855386257171631;-41,4573061466217;138,447597622871;-0,0723799506829946;128,49772835981
0,6475;0,6475;1;1;1;1;1;-67,4798128178676;-0,010334700345993;-41,4351108670235;139,639154076576;-0,0874488098324001;129,603650745915
0,6525;0,6525;1;1;1;1;1;-67,4804833701482;-0,0146929919719696;-41,4111560583115;140,741065144539;-0,124327229412503;130,626370327323
0,6575;0,6575;1;1;1;1;1;-67,4801480940079;-0,00912919640541077;-41,3869598507881;141,858443617821;-0,0772482349417056;131,663445711801
0,6625;0,6625;1;1;1;1;1;-67,4793300202256;-0,00985085964202881;-41,3647967576981;143,050462007523;-0,0833547101203995;132,769796835762
0,67;0,67;1;1;1;1;1;-67,4796787074115;-0,00633597373962402;-41,3324949145317;144,627183675766;-0,053612910303131;134,233203612793
0,675;0,675;1;1;1;1;1;-67,4791243841929;-0,00554487109184265;-41,3112732768059;145,757541060448;-0,046918861836543;135,282325148019
0,68;0,68;1;1;1;1;1;-67,4789276888573;-0,0119990110397339;-41,2886247038841;146,899983286858;-0,101531655438601;136,342663018784
0,685;0,685;1;1;1;1;1;-67,4791243841929;-0,0108298659324646;-41,2639054656029;148,039475083351;-0,0916387369475766;137,400262499368
0,69;0,69;1;1;1;1;1;-67,4794551899847;-0,0129833817481995;-41,2399533390999;149,167999625206;-0,109861074193598;138,44768291342
0,695;0,695;1;1;1;1;1;-67,4794551899847;-0,00620141625404358;-41,2197616696358;150,292128324509;-0,0524743294469756;139,491023402707
0,7025;0,7025;1;1;1;1;1;-67,4794551899847;-0,0137169659137726;-41,1844611167908;151,938438415527;-0,116068420323004;141,019017463304
0,7075;0,7075;1;1;1;1;1;-67,4793344905742;-0,00959962606430054;-41,1601173877716;153,071478009224;-0,0812288548341558;142,070628444149
0,7125;0,7125;1;1;1;1;1;-67,4791959097695;-0,0135241448879242;-41,1374232172966;154,18441593647;-0,114436832695246;143,103582413102
0,72;0,72;1;1;1;1;1;-67,4789902737368;-0,0123625993728638;-41,100939810276;155,782833695412;-0,1046082194353;144,587126039142
0,725;0,725;1;1;1;1;1;-67,4790170958281;-0,00930935144424438;-41,080048084259;156,878888607025;-0,0787726471843322;145,604410330948
0,73;0,73;1;1;1;1;1;-67,4789947440854;-0,00992089509963989;-41,0573056340218;157,959058880806;-0,0839473269558292;146,606951572586
0,7375;0,7375;1;1;1;1;1;-67,4786013534141;-0,00676169991493225;-41,0250681638718;159,58859026432;-0,0572152641304134;148,119372767809
0,7425;0,7425;1;1;1;1;1;-67,478650527248;-0,0130546092987061;-41,0032510757446;160,69383919239;-0,110463778124099;149,145190325987
